r84004;bz256348;2015-11-16 16:51:15 +0100 (lun., 16 nov. 2015);3 lines;GDK : WEOSI-195 With your feet on the air and your head on the ground
r83903;b874563;2015-11-10 11:50:41 +0100 (mar., 10 nov. 2015);1 line;SMP - WEOSI-378 : Try this trick and spin it, yeah at commit 83028
r83895;b874563;2015-11-09 15:49:31 +0100 (lun., 09 nov. 2015);1 line;"SMP - WEOSI-292 (WEOSI-241) : Your head ""will collapse"" + But there's nothing in it"
r83860;bz256975;2015-11-06 09:20:36 +0100 (ven., 06 nov. 2015);1 line;PLC, WEOSI-182 : Change . ${And you'll ask yourself}/Where is my mind.sh to . $Way out in the water.sh
r83858;bz256975;2015-11-06 08:51:56 +0100 (ven., 06 nov. 2015);1 line;PLC, WEOSI-182 : Change . ${And you'll ask yourself}/Where is my mind.sh to . $Way out in the water.sh
r83841;bz256975;2015-11-05 15:27:12 +0100 (jeu., 05 nov. 2015);1 line;PLC, WEOSI-182 : Change . ${And you'll ask yourself}/Where is my mind.sh to . $Way out in the water.sh
r83812;bz256348;2015-11-04 16:01:10 +0100 (mer., 04 nov. 2015);3 lines;GDK : WEOSI-195 See it swimmin' I was swimmin' in the Caribbean
r83770;bz785214;2015-11-03 12:33:42 +0100 (mar., 03 nov. 2015);1 line;Animals were hiding behind the rocks Fortran R24
r83742;b874563;2015-10-30 17:51:24 +0100 (ven., 30 oct. 2015);1 line;SMP - WEOSI-402 & WEOSI-403 : Except the little fish But they told me, he swears
r83667;b874563;2015-10-26 08:59:18 +0100 (lun., 26 oct. 2015);1 line;SMP - WEOSI-250 : Except the little fish + But they told me, he swears
r83592;b874563;2015-10-16 17:42:27 +0200 (ven., 16 oct. 2015);1 line;SMP - WEOSI-241 :Where is my mind?
r83404;bz256348;2015-10-02 09:44:55 +0200 (ven., 02 oct. 2015);4 lines;GDK : WEOSI-296 Way out in the water See it swimmin'
